sgRNA,Cell_line,Replicate,Timepoint,gene,Treatment,diff,type,TP,FP,AUC
sgUTP23_6,Hbe,R1,T6,UTP23,No,-2.04705579779949,+,0.0187074829931973,0.00167785234899329,0.940955576861617
sgUBL5_3,Susa,R2,T6,UBL5,No,-2.04652376930386,+,0.00340136054421769,0,0.862398986440214
sgPSMB3_5,Hbe,R1,T4,PSMB3,No,-2.04592524313316,+,0.00680272108843537,0.00167785234899329,0.955950668858147
sgEXOSC7_4,Hbe,R1,T6,EXOSC7,No,-2.0438952533004,+,0.0204081632653061,0.00167785234899329,0.940955576861617
sgCDK7_5,Hbe,R2,T6,CDK7,No,-2.0433341883966,+,0.0476190476190476,0,0.959497557412227
sgATP6V0C_5,Hbe,R2,T6,ATP6V0C,No,-2.0431245335692,+,0.0493197278911565,0,0.959497557412227
sgNVL_3,Susa,R1,T6,NVL,No,-2.04299148813075,+,0.0119047619047619,0,0.935257156553897
sgATP6V0C_3,Hbe,R2,T6,ATP6V0C,No,-2.04288301286728,+,0.0510204081632653,0,0.959497557412227
sgPCNA_6,Hbe,R2,T6,PCNA,No,-2.04017455663132,+,0.0527210884353742,0,0.959497557412227
sgATP6V0C_3,Hbe,R2,T5,ATP6V0C,No,-2.0395854427217,+,0.00850340136054422,0,0.954238574624481
sgPSMB3_4,Susa,R1,T6,PSMB3,No,-2.03779362163195,+,0.0136054421768707,0,0.935257156553897
sgEXOSC7_3,Hbe,R1,T5,EXOSC7,No,-2.03779267457531,+,0.0119047619047619,0,0.948229123864311
sgPCNA_4,Hbe,R1,T3,PCNA,No,-2.03646955035336,+,0.00850340136054422,0,0.922673263936447
sgUTP23_6,Hbe,R2,T6,UTP23,No,-2.03499832070318,+,0.054421768707483,0,0.959497557412227
sgPSMB3_1,Hbe,R2,T6,PSMB3,No,-2.03491008474064,+,0.0561224489795918,0,0.959497557412227
sgATP6V0C_4,Hbe,R2,T3,ATP6V0C,No,-2.03397453942476,+,0.0187074829931973,0,0.910426083184952
sgRUVBL2_5,Hbe,R1,T4,RUVBL2,No,-2.03320860823977,+,0.00850340136054422,0.00167785234899329,0.955950668858147
sgIMP4_3,Hbe,R2,T6,IMP4,No,-2.03278284832737,+,0.0578231292517007,0,0.959497557412227
sgAARS_3,Hbe,R2,T6,AARS,No,-2.03245830464986,+,0.0595238095238095,0,0.959497557412227
sgXPO1_2,Hbe,R1,T4,XPO1,No,-2.03173522969304,+,0.0102040816326531,0.00167785234899329,0.955950668858147
sgPOLR3H_6,Hbe,R2,T4,POLR3H,No,-2.03126508201105,+,0.0238095238095238,0,0.946659704150116
sgACTL6A_2,Hbe,R2,T5,ACTL6A,No,-2.0304766753562,+,0.0102040816326531,0,0.954238574624481
sgUBL5_3,Susa,R2,T5,UBL5,No,-2.02960387831497,+,0.00170068027210884,0,0.881129297356526
sgCDK7_5,Hbe,R2,T5,CDK7,No,-2.02946359008039,+,0.0119047619047619,0,0.954238574624481
sgPSMB3_4,Hbe,R2,T5,PSMB3,No,-2.02905290885134,+,0.0136054421768707,0,0.954238574624481
sgRUVBL2_2,Susa,R1,T6,RUVBL2,No,-2.02855305094573,+,0.0153061224489796,0,0.935257156553897
sgPSMB3_1,Hbe,R2,T3,PSMB3,No,-2.02839524163973,+,0.0204081632653061,0,0.910426083184952
sgAARS_3,Hbe,R2,T5,AARS,No,-2.027503004151,+,0.0153061224489796,0,0.954238574624481
sgWDR61_5,Hbe,R2,T6,WDR61,No,-2.02672825862464,+,0.0612244897959184,0,0.959497557412227
sgPES1_4,Hbe,R1,T4,PES1,No,-2.0264976967724,+,0.0119047619047619,0.00167785234899329,0.955950668858147
sgBUD31_6,Hbe,R2,T4,BUD31,No,-2.02517911125054,+,0.0255102040816327,0,0.946659704150116
sgATP6V0C_1,Hbe,R2,T6,ATP6V0C,No,-2.02449114524177,+,0.0629251700680272,0,0.959497557412227
sgCTDP1_3,Hbe,R2,T5,CTDP1,No,-2.02334348366613,+,0.0170068027210884,0,0.954238574624481
sgATP6V0C_4,Hbe,R1,T5,ATP6V0C,No,-2.02323451538187,+,0.0136054421768707,0,0.948229123864311
